账号                                     |日期                                                			 |存款金额|取款金额|余额
1111222233335555|公元 2017年四月11日星期二 13时56分43秒CST|0.0| 100.0|9900.0
1111222233335555|公元 2017年四月11日星期二 13时56分50秒CST|0.0| 200.0|9700.0
1111222233335555|公元 2017年四月11日星期二 13时57分09秒CST|0.0| 3000.0|6700.0
1111222233336666|公元 2017年四月11日星期二 13时58分16秒CST|0.0| 3000.0|7000.0
1111222233336666|公元 2017年四月11日星期二 13时58分20秒CST|0.0| 200.0|6800.0
1111222233336666|公元 2017年四月11日星期二 13时58分24秒CST|0.0| 500.0|6300.0
1111222233334444|公元 2017年四月11日星期二 14时01分31秒CST|0.0| 3000.0|7000.0
1111222233334444|公元 2017年四月11日星期二 14时01分38秒CST|0.0| 2000.0|5000.0
1111222233334444|公元 2017年四月11日星期二 14时01分46秒CST|0.0| 300.0|4700.0
1111222233335555|公元 2017年四月11日星期二 14时03分47秒CST|0.0| 300.0|6400.0
1111222233335555|公元 2017年四月11日星期二 14时03分50秒CST|0.0| 200.0|6200.0
1111222233335555|公元 2017年四月11日星期二 14时03分54秒CST|0.0| 100.0|6100.0
